Doc Id,Sentiment,TFIDF Score,Total_Number_of_Words,Positive_Word_Count-GI,Negative_Word_Count-GI,Neutral_Word_Count-GI,Objective_Word_Count-GI,Unidentified_Word_Count-GI,Positive_Word_Count-Polarity,Negative_Word_Count-Polarity,Neutral_Word_Count-Polarity,Unidentified_Word_Count-Polarity,SNW-Score,Emoticons_Score,Exclamation_Count,HashTag_Score,Adjective_Score,Gi-Score,Polarity-Score,Final-Score,Exclamation_Score,Final_Score_With_SNW,Bi-Gram_Score,Tri-Gram_Score,NewHashTagScore
25,positive,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.490583,3.490583,0
26,positive,29.38751,11,2,1,7,0,1,2,1,0,8,0.75,0,1,0,3.19865527,3,5,4,0.266666667,5.75,55.486005,55.486005,0
27,neutral,19.702896,15,0,1,5,0,9,0,1,1,13,0,0,0,1,1.232879952,-3,-5,-4,0,-2,30.25777,30.25777,1
28,positive,12.078735,6,0,0,3,0,3,1,0,0,5,0,3,1,0,0,0,5,2.5,0.166666667,1.25,38.36731,38.36731,0
29,negative,15.371783,12,1,0,5,0,6,1,1,0,10,-0.875,0,0,1,2.313528402,3,0,1.5,0,-3.625,33.97216,39.170556,1
30,positive,19.126881,8,0,0,4,0,4,1,0,0,7,-0.125,0,0,0,0,0,5,2.5,0,0.625,41.0361,41.0361,0
31,positive,36.782814,17,2,2,8,0,5,3,0,0,14,0.375,0,0,0,6.074009699,0,15,7.5,0,5.625,40.792663,40.792663,0
32,objective,11.965303,12,2,0,6,0,4,4,0,0,8,0.5,0,0,1,7.271082308,6,20,13,0,9,20.476884,20.476884,1
33,neutral,15.204994,11,0,1,2,0,8,0,2,0,9,-0.875,0,0,1,1.122143055,-3,-10,-6.5,0,-7.625,21.552475,21.552475,2
34,positive,27.034743,17,1,0,10,0,6,1,0,1,15,0.5,0,1,1,3.397641915,3,5,4,0.266666667,4.5,41.426746,45.923954,2
35,negative,0,3,0,0,1,0,2,0,0,0,3,0.125,0,0,0,0,0,0,0,0,0.625,0,0,0
36,neutral,28.877041,13,0,1,6,0,6,0,2,0,11,-0.75,0,0,1,-0.466987205,-3,-10,-6.5,0,-7,49.772813,49.772813,2
37,positive,21.593066,10,0,1,5,1,3,2,1,0,7,0,0,0,0,1.256964195,-3,5,1,0,0.5,32.571473,32.571473,0
38,positive,19.529436,9,0,0,6,0,3,1,0,0,8,0.125,0,0,0,1.62733128,0,5,2.5,0,1.875,24.05361,24.05361,0
39,objective,24.628942,16,0,0,10,0,6,0,1,1,14,0,0,0,0,0.927524895,0,-5,-2.5,0,-1.25,46.615971,46.615971,0
40,positive,11.051829,14,0,1,5,1,7,1,1,1,11,-0.125,0,0,0,0,-3,0,-1.5,0,-1.375,37.815846,47.000185,0
41,positive,32.357877,15,1,0,9,0,5,2,0,1,12,-0.125,0,1,0,1.713652806,3,10,6.5,0.433333333,2.625,50.978413,55.260638,0
42,neutral,15.171729,11,0,1,3,0,7,0,2,0,9,0,0,0,1,1.134437517,-3,-10,-6.5,0,-3.25,31.606107,31.606107,2
43,positive,21.005983,15,0,0,10,1,4,1,1,2,11,-0.75,0,0,0,1.618461742,0,0,0,0,-3.75,47.508763,47.508763,0
44,neutral,18.011182,19,1,1,4,0,13,1,1,0,17,0,0,1,0,0,0,0,0,0,0,31.934649,31.934649,0
45,positive,30.97547,13,1,1,8,0,3,1,1,0,11,0,3,3,0,1.468090009,0,0,0,0,0,59.553763,72.307187,0
46,negative,17.020757,9,0,1,3,0,5,0,1,0,8,0,0,0,1,2.284393422,-3,-5,-4,0,-2,22.731851,22.731851,1
47,objective,25.847827,14,0,0,5,0,9,1,0,1,12,0.75,0,0,0,1.433104664,0,5,2.5,0,5,49.676886,54.720611,0
48,positive,17.388076,15,2,0,7,0,6,2,0,0,13,-0.125,0,2,1,1.445199217,6,10,8,1.066666667,3.375,34.092382,44.276063,1
49,positive,16.175243,7,1,0,3,0,3,2,0,1,4,-0.5,0,0,1,2.699657268,3,10,6.5,0,0.75,19.479026,19.479026,1
50,positive,21.810739,15,1,0,7,0,7,2,0,2,11,0,0,0,0,1.258102506,3,10,6.5,0,3.25,30.208161,30.208161,0
51,neutral,8.323112,14,1,0,7,0,6,1,0,0,13,0.5,0,1,0,0,3,5,4,0.266666667,4.5,23.124555,23.124555,0
52,negative,8.895373,5,0,0,1,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,27.434508,35.615919,0
53,negative,7.685185,7,0,0,5,1,1,1,0,0,6,0.625,0,0,1,0,0,5,2.5,0,4.375,19.759639,24.803364,1
54,neutral,10.481891,14,0,1,5,0,8,1,1,0,12,-0.25,0,0,0,1.489594673,-3,0,-1.5,0,-2,21.336524,27.663073,0
55,neutral,4.049,8,0,0,6,0,2,3,0,1,4,0.25,0,0,0,5.031606338,0,15,7.5,0,5,9.281215,9.281215,0
56,neutral,5.189301,9,0,0,6,0,3,1,0,0,8,0,0,0,1,0.609664903,0,5,2.5,0,1.25,29.826353,29.826353,1
57,neutral,12.328663,18,0,0,10,1,7,2,0,0,16,0,0,0,1,3.630649039,0,10,5,0,2.5,33.432993,33.432993,3
58,objective,19.850449,15,0,1,4,0,10,0,1,0,14,-0.875,0,0,0,0,-3,-5,-4,0,-6.375,30.966373,30.966373,0
59,positive,15.480845,8,1,0,5,0,2,2,1,0,5,0,0,0,0,1.134437517,3,5,4,0,2,20.458882,20.458882,0
60,negative,13.600576,12,0,3,5,0,4,0,3,0,9,0.125,0,0,0,-1.683591654,-9,-15,-12,0,-5.375,26.406012,30.422767,0
61,positive,8.990709,8,1,1,4,0,2,1,1,1,5,0,0,0,0,1.468090009,0,0,0,0,0,16.962317,21.598619,0
62,neutral,9.651294,12,1,0,2,0,9,1,0,1,10,0,0,1,0,0.557180872,3,5,4,0.266666667,2,37.07306,40.429932,0
63,neutral,15.356153,9,0,0,6,0,3,0,0,0,9,0,0,2,0,0,0,0,0,0,0,26.075857,30.271325,0
64,negative,23.126828,12,0,2,4,0,6,0,3,0,9,0.125,0,0,0,1.298964063,-6,-15,-10.5,0,-4.625,46.147751,51.191476,0
65,positive,17.298667,14,1,0,5,0,8,3,1,0,10,-0.375,0,0,0,-2.072867453,3,10,6.5,0,1.375,13.356516,13.356516,0
66,objective,19.090211,11,0,0,4,1,6,1,1,1,8,0.375,0,0,0,1.181852459,0,0,0,0,1.875,34.548841,39.747237,0
67,objective,4.23749,7,0,1,2,0,4,0,2,0,5,-0.375,0,0,0,0,-3,-10,-6.5,0,-5.125,16.775043,16.775043,0
68,positive,14.254099,13,2,0,2,1,8,2,0,0,11,0.125,0,2,1,0.869896575,6,10,8,1.066666667,4.625,20.68026,24.91775,2
69,positive,17.539417,12,1,0,4,3,4,1,1,0,10,0,0,11,0,2.345910348,3,0,1.5,1.1,0.75,22.102969,27.301365,0
70,neutral,11.595536,15,1,1,2,0,11,1,0,1,13,0,0,0,1,0,0,5,2.5,0,1.25,21.110204,21.110204,2
71,neutral,22.003755,14,1,0,8,0,5,2,0,0,12,0,0,0,0,0.86123051,3,10,6.5,0,3.25,46.308141,46.308141,0
72,positive,22.387499,9,1,0,5,0,3,1,0,0,8,0,0,0,0,0,3,5,4,0,2,40.705707,45.516207,0
73,objective,20.24545,11,2,0,7,0,2,3,0,1,7,-0.625,0,0,0,0.410652882,6,15,10.5,0,2.125,51.357556,51.357556,0
74,positive,18.091193,12,1,0,8,0,3,1,1,2,8,-0.125,0,0,0,1.114277086,3,0,1.5,0,0.125,51.12537,51.12537,0
75,objective,18.460423,10,0,0,7,0,3,1,2,2,5,0,0,0,0,5.170494813,0,-5,-2.5,0,-1.25,43.250524,58.283618,0
76,objective,11.168085,7,0,0,3,0,4,1,0,0,6,-1.125,0,0,0,0,0,5,2.5,0,-4.375,19.602818,19.602818,0
77,objective,34.619084,15,1,1,9,0,4,2,1,0,12,-0.75,0,0,0,-0.780943442,0,5,2.5,0,-2.5,56.597459,56.597459,0
78,neutral,11.851949,8,0,0,5,2,1,0,0,2,6,0,0,0,0,2.198528134,0,0,0,0,0,15.111149,15.111149,0
79,positive,13.136585,9,0,0,5,1,3,0,1,0,8,-0.75,0,0,1,0,0,-5,-2.5,0,-5,18.399099,18.399099,1
80,positive,3.735708,6,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3.735708,3.735708,0
81,negative,20.266174,12,1,0,7,0,4,2,0,2,8,0.125,0,0,1,1.258102506,3,10,6.5,0,3.875,33.556132,38.366632,1
82,negative,4.543594,12,0,0,6,0,6,0,0,0,12,0,0,0,1,0,0,0,0,0,0,26.994763,26.994763,1
83,positive,29.168934,14,2,0,7,0,5,2,1,0,11,0.125,0,0,0,2.331673343,6,5,5.5,0,3.375,44.718631,49.917027,0
84,positive,18.615566,10,1,0,6,0,3,1,0,0,9,0,0,0,0,0,3,5,4,0,2,57.073268,61.63654,0
85,neutral,10.877724,16,2,1,8,0,5,2,1,0,13,0.125,0,0,1,1.44353389,3,5,4,0,2.625,22.524788,22.524788,1
86,positive,13.381383,9,1,0,4,0,4,1,1,0,7,0,0,0,1,0,3,0,1.5,0,0.75,18.618297,18.618297,1
87,positive,15.172698,7,1,0,2,0,4,2,0,0,5,0,0,0,0,1.425481404,3,10,6.5,0,3.25,20.89892,20.89892,0
88,negative,10.00018,7,1,0,4,1,1,2,0,0,5,0,0,0,0,3.18266218,3,10,6.5,0,3.25,22.166547,22.166547,0
89,neutral,21.683251,18,0,0,8,0,10,2,1,0,15,1,0,0,0,0.589370904,0,5,2.5,0,6.25,45.18935,49.626246,0
90,neutral,29.595415,15,0,1,9,0,5,0,4,1,10,0,0,0,0,1.977762389,-3,-20,-11.5,0,-5.75,68.840507,68.840507,0
91,positive,26.537719,15,0,0,8,0,7,1,0,2,12,0.125,0,1,0,0.832526671,0,5,2.5,0.166666667,1.875,27.334609,27.334609,0
92,negative,18.2641,17,0,1,8,1,7,0,1,1,15,-1,0,0,0,2.544660884,-3,-5,-4,0,-7,44.923476,49.559778,1
93,neutral,17.950212,10,1,0,2,0,7,1,0,0,9,0.375,0,1,1,-1.652545476,3,5,4,0.266666667,3.875,28.317621,28.317621,1
94,negative,10.906246,5,1,1,2,0,1,1,1,0,3,0,0,0,0,-0.786554904,0,0,0,0,0,23.586402,23.586402,0
95,positive,23.367758,12,1,0,6,0,5,2,1,0,9,0,0,3,0,2.66599098,3,5,4,0.8,2,34.806071,34.806071,0
96,positive,18.67096,10,1,0,7,0,2,1,0,1,8,0,0,0,0,2.39793348,3,5,4,0,2,37.306721,45.939085,0
97,positive,5.68366,11,2,0,3,0,6,3,0,0,8,0,3,1,0,2.313528402,6,15,10.5,0.7,5.25,20.382896,20.382896,0
98,neutral,26.052416,12,1,1,4,0,6,2,1,0,9,0,0,0,0,-3.511718609,0,5,2.5,0,1.25,33.304612,33.304612,0
99,negative,6.95681,5,0,0,4,0,1,1,0,2,2,1,0,0,0,0.791092233,0,5,2.5,0,6.25,22.729095,27.77282,0
100,positive,27.735644,24,2,0,12,0,10,0,0,0,24,0.5,0,1,1,4.306833514,6,0,3,0.2,4,34.280774,34.280774,1
101,neutral,11.35197,8,0,0,3,0,5,1,0,0,7,0.5,0,0,0,1.678404494,0,5,2.5,0,3.75,17.549383,17.549383,0
102,positive,8.045454,6,1,0,2,0,3,1,0,0,5,0,0,4,0,2.478634356,3,5,4,1.066666667,2,23.799238,27.994706,0
103,objective,27.67171,13,0,0,9,1,3,1,0,0,12,0,0,0,1,0,0,5,2.5,0,1.25,58.581054,62.863279,2
104,objective,13.450748,4,0,0,2,0,2,1,0,0,3,0,0,0,0,1.215575226,0,5,2.5,0,1.25,14.03805,14.03805,0
105,negative,10.999177,11,0,0,7,0,4,0,1,0,10,0,0,0,1,0,0,-5,-2.5,0,-1.25,27.882012,27.882012,1
106,positive,13.736158,13,2,0,5,0,6,1,0,1,11,0.125,0,0,0,0,6,5,5.5,0,3.375,46.986459,50.942902,0
107,positive,15.392196,9,0,0,1,0,8,1,0,0,8,-0.875,0,0,0,0,0,5,2.5,0,-3.125,22.12739,22.12739,0
108,neutral,15.67587,10,0,0,5,0,5,0,1,1,8,-0.75,0,0,0,0,0,-5,-2.5,0,-5,38.832873,54.855748,0
109,neutral,11.721916,10,0,0,6,0,4,0,0,1,9,0,0,0,0,0,0,0,0,0,0,34.500487,39.544212,0
110,neutral,5.330548,5,0,0,1,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5.577776,5.577776,0
111,objective,9.354297,13,0,0,8,0,5,0,0,0,13,-0.125,0,0,0,0,0,0,0,0,-0.625,46.352615,56.35456,0
112,neutral,24.808027,12,0,0,4,3,5,0,2,1,9,-0.875,0,0,0,1.216854926,0,-10,-5,0,-6.875,36.067855,36.067855,0
113,neutral,8.495495,11,0,2,2,1,6,0,2,0,9,-0.75,0,0,1,-0.780943442,-6,-10,-8,0,-7.75,40.884888,40.884888,3
114,neutral,11.769738,12,0,0,7,0,5,1,0,1,10,-0.125,0,0,0,2.346816811,0,5,2.5,0,0.625,25.241053,25.241053,0
115,negative,11.257039,11,0,0,6,1,4,0,1,2,8,-0.875,0,0,0,0,0,-5,-2.5,0,-5.625,25.019428,25.019428,0
116,negative,16.12508,13,0,1,8,0,4,0,2,0,11,-0.875,0,0,0,0,-3,-10,-6.5,0,-7.625,31.409391,31.409391,0
117,negative,16.930602,10,4,0,3,0,3,5,0,0,5,-0.375,0,1,3,1.781140356,12,25,18.5,1.233333333,7.375,20.469966,20.469966,1
118,positive,34.223555,13,2,0,5,0,6,4,1,0,8,0,0,1,1,3.487001198,6,15,10.5,0.7,5.25,61.978025,70.896552,2
119,positive,8.31599,7,1,0,2,0,4,1,0,0,6,0,0,0,1,1.539022668,3,5,4,0,2,12.602533,12.602533,1
120,positive,5.204317,9,0,0,4,0,5,1,1,0,7,0,0,0,0,1.157210165,0,0,0,0,0,27.861499,35.945496,0
121,negative,23.456435,12,0,1,8,1,2,1,1,1,9,0,0,0,0,1.240766226,-3,0,-1.5,0,-0.75,41.493146,50.329461,0
122,negative,5.168377,10,0,0,3,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18.933343,23.977068,0
123,neutral,24.256587,15,0,1,6,1,7,1,0,0,14,0.125,0,0,0,1.608900156,-3,5,1,0,1.125,55.850413,61.048809,0
124,objective,11.399516,11,0,0,6,0,5,0,0,0,11,-0.125,0,1,0,0,0,0,0,0,-0.625,22.90058,22.90058,0
125,objective,13.010701,7,0,0,5,0,2,0,0,0,7,0.125,0,0,0,0,0,0,0,0,0.625,18.065173,18.065173,0
126,positive,10.914232,11,2,0,6,0,3,2,0,0,9,0.25,0,0,1,1.432900761,6,10,8,0,5.25,39.811569,44.374841,1
127,negative,14.679949,15,0,1,8,0,6,0,2,0,13,-1,0,0,0,0,-3,-10,-6.5,0,-8.25,29.269108,33.766316,0
128,positive,19.58656,15,3,0,7,0,5,4,0,2,9,-0.375,0,0,0,6.26526118,9,20,14.5,0,5.375,26.927742,26.927742,0
129,negative,13.782362,13,1,0,6,0,6,1,0,0,12,0.125,0,0,1,2.381924087,3,5,4,0,2.625,33.416111,38.614507,3
130,neutral,21.444083,13,1,1,5,1,5,2,1,1,9,-0.25,0,2,0,1.819232229,0,5,2.5,0.333333333,0,60.118651,68.698677,0
131,neutral,4.668237,7,0,0,4,0,3,1,0,0,6,0,0,0,0,0.602590119,0,5,2.5,0,1.25,29.515209,34.151511,0
132,positive,19.449306,7,2,0,5,0,0,2,1,0,4,0.25,0,1,0,3.434778352,6,5,5.5,0.366666667,4,28.087352,28.087352,0
133,objective,33.615348,19,0,0,6,2,11,1,2,0,16,-0.875,0,0,1,2.454540299,0,-5,-2.5,0,-5.625,84.60997,94.618866,1
134,positive,0,6,1,0,1,0,4,1,0,0,5,0.625,0,0,0,0.973447748,3,5,4,0,5.125,4.917349,4.917349,0
135,negative,12.597325,9,1,1,5,0,2,0,1,0,8,0,0,0,1,0,0,-5,-2.5,0,-1.25,60.107544,76.8069,1
136,negative,17.853099,12,1,1,4,0,6,0,1,0,11,0.25,0,0,0,-3.511718609,0,-5,-2.5,0,0,24.172217,24.172217,0
137,positive,17.168588,6,0,0,2,0,4,1,0,0,5,0,0,0,0,2.066842714,0,5,2.5,0,1.25,34.246533,40.788787,0
138,positive,8.329118,11,1,0,3,0,7,1,1,0,9,0,0,0,1,1.114277086,3,0,1.5,0,0.75,19.187916,23.624812,1
139,positive,10.69198,21,0,1,5,0,15,0,1,2,18,0,3,0,0,1.578565397,-3,-5,-4,0,-2,24.093075,27.449947,0
140,positive,11.074325,14,2,1,8,0,3,3,0,1,10,0.5,0,0,0,2.511211278,3,15,9,0,7,38.072266,38.072266,0
141,positive,22.813448,13,1,0,6,1,5,2,0,0,11,0.375,0,0,1,1.04366484,3,10,6.5,0,5.125,28.162848,28.162848,2
142,positive,13.650579,11,1,0,4,0,6,1,1,0,9,-0.125,0,1,1,5.167671604,3,0,1.5,0.1,0.125,40.465648,40.465648,1
143,positive,13.027748,6,0,0,4,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,26.071866,26.071866,0
144,objective,23.249959,12,0,0,3,0,9,0,1,0,11,0,0,0,0,1.473037035,0,-5,-2.5,0,-1.25,17.58242,27.543494,0
145,objective,18.969221,16,1,0,9,0,6,1,2,0,13,-1,0,0,0,1.687667415,3,-5,-1,0,-5.5,54.305213,54.305213,0
146,negative,20.673464,13,2,1,6,0,4,2,2,0,9,-1,0,0,0,1.436860212,3,0,1.5,0,-4.25,56.815701,56.815701,0
147,negative,13.861796,9,0,0,5,0,4,0,2,0,7,-0.25,0,1,0,0.927524895,0,-10,-5,-0.333333333,-3.75,39.349373,39.349373,0
148,neutral,3.29859,6,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,17.143077,17.143077,0
149,positive,22.893944,14,0,1,5,0,8,0,0,0,14,-0.25,0,2,0,0,-3,0,-1.5,-0.2,-2,32.127965,32.127965,0
150,negative,0,15,1,0,6,0,8,0,0,2,13,-0.375,0,0,1,0,3,0,1.5,0,-1.125,9.834698,9.834698,2
151,positive,20.417059,8,2,0,2,1,3,2,0,1,5,0.5,0,0,0,0,6,10,8,0,6.5,34.093582,37.278964,0
152,positive,22.896186,13,0,0,6,0,7,1,1,0,11,0,0,0,0,0.959340942,0,0,0,0,0,34.949544,34.949544,0
153,neutral,10.627376,9,0,0,8,0,1,2,0,0,7,-0.5,0,1,3,2.825302878,0,10,5,0.333333333,0,18.91292,18.91292,1
154,negative,5.413117,11,0,0,6,0,5,2,0,0,9,0,0,0,0,4.754074459,0,10,5,0,2.5,13.263889,13.263889,0
155,objective,26.580394,15,0,0,8,0,7,0,0,0,15,0,0,0,1,0,0,0,0,0,0,31.003879,31.003879,1
156,objective,26.304005,13,0,0,8,0,5,0,2,0,11,-0.5,0,0,1,0.575659792,0,-10,-5,0,-5,34.779556,34.779556,1
157,neutral,7.09074,7,0,0,3,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11.372965,11.372965,0
158,positive,15.411795,8,0,0,6,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,38.108927,50.687615,0
159,positive,21.770857,12,2,0,5,0,5,2,0,2,8,0,0,0,0,3.209013881,6,10,8,0,4,44.121268,48.138023,0
160,neutral,0,3,0,0,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
161,negative,8.79508,5,0,0,3,0,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,30.720681,30.720681,0
162,positive,27.63774,13,1,1,8,0,3,2,1,0,10,-0.75,0,0,1,0,0,5,2.5,0,-2.5,64.366609,67.842599,1
163,positive,11.389452,8,0,0,2,0,6,0,0,0,8,0,0,0,1,0,0,0,0,0,0,24.244673,28.962616,1
164,objective,18.266023,13,1,0,6,0,6,1,0,0,12,0.125,0,0,0,2.522903729,3,5,4,0,2.625,49.122343,56.940869,0
165,neutral,21.880462,14,0,1,4,0,9,1,1,0,12,-0.75,0,1,0,-0.178353323,-3,0,-1.5,-0.1,-4.5,33.632195,43.874316,0
166,positive,30.452852,14,1,1,6,1,5,1,1,0,12,-0.875,0,5,0,1.231925303,0,0,0,0,-4.375,43.201373,43.201373,0
167,negative,18.896829,11,0,0,7,0,4,1,0,0,10,0.375,0,0,1,0,0,5,2.5,0,3.125,40.143278,40.143278,1
168,objective,16.92911,14,1,0,5,0,8,1,0,0,13,-0.125,0,0,0,0,3,5,4,0,1.375,28.96713,34.165526,0
169,negative,11.539433,10,0,1,7,0,2,1,2,0,7,-0.75,0,0,0,1.080606639,-3,-5,-4,0,-5.75,42.651855,51.968623,0
170,positive,12.230553,9,2,0,4,0,3,2,0,0,7,0.125,0,5,1,2.002380089,6,10,8,2.666666667,4.625,24.667312,28.716312,1
171,positive,21.739919,15,0,0,8,0,7,0,0,2,13,0,5,0,0,0,0,0,0,0,0,49.927037,63.083054,0
172,neutral,0,8,0,0,3,0,5,0,0,0,8,-0.5,0,0,0,0,0,0,0,0,-2.5,13.122198,13.122198,0
173,neutral,8.370393,4,0,0,1,0,3,1,1,0,2,0.125,0,0,0,0.927524895,0,0,0,0,0.625,22.301609,22.301609,0
174,negative,7.898594,10,0,2,4,1,3,0,2,0,8,0.25,0,0,0,1.580143992,-6,-10,-8,0,-2.75,16.867643,21.911368,0
175,positive,19.067021,14,2,1,9,0,2,2,0,0,12,0.5,0,0,0,3.261282589,3,10,6.5,0,5.75,30.653179,33.838561,0
176,positive,26.866599,11,1,0,5,1,4,1,0,0,10,0.125,0,0,0,1.463588617,3,5,4,0,2.625,66.540296,66.540296,0
177,positive,34.040537,11,1,0,4,1,5,1,0,0,10,0,0,0,0,0,3,5,4,0,2,49.521103,49.521103,0
178,neutral,15.339798,14,1,1,4,1,7,2,0,1,11,0,0,0,0,3.18266218,0,10,5,0,2.5,27.129628,27.129628,0
179,negative,26.701383,11,2,0,6,0,3,2,0,1,8,0.125,0,0,0,1.211904948,6,10,8,0,4.625,60.626495,70.74224,0
180,objective,25.137323,13,0,2,6,0,5,0,1,0,12,0.5,0,0,0,0.575659792,-6,-5,-5.5,0,-0.25,43.95502,48.672963,0
181,positive,9.213005,8,0,1,2,0,5,0,0,0,8,0,0,1,0,0,-3,0,-1.5,-0.1,-0.75,31.8377,38.148087,0
182,positive,15.474757,10,2,0,3,0,5,3,1,0,6,0.25,0,0,1,3.544358988,6,10,8,0,5.25,31.725735,31.725735,1
183,neutral,22.38918,13,1,0,6,0,6,2,0,0,11,0.125,0,0,0,1.463588617,3,10,6.5,0,3.875,50.332701,59.036587,0
184,objective,0,2,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1
185,positive,13.118476,9,3,0,2,0,4,3,0,0,6,0.125,0,4,0,3.716431297,9,15,12,3.2,6.625,44.88949,54.206258,0
186,positive,17.654875,13,1,0,6,0,6,1,1,0,11,0.25,0,0,1,1.669500209,3,0,1.5,0,2,51.216494,62.802473,1
187,positive,14.920024,12,1,1,6,0,4,1,2,0,9,-0.5,0,0,0,0.426280862,0,-5,-2.5,0,-3.75,29.765338,29.765338,0
188,objective,13.129195,6,1,0,2,0,3,1,0,0,5,0.125,0,0,1,1.04366484,3,5,4,0,2.625,18.498702,18.498702,1
189,positive,10.248042,6,0,0,3,0,3,0,1,0,5,0,0,1,0,2.088793702,0,-5,-2.5,-0.166666667,-1.25,16.543828,16.543828,0
190,objective,8.812406,7,2,0,1,0,4,2,0,0,5,0,0,0,0,2.228554172,6,10,8,0,4,23.076047,31.26998,0
191,negative,7.829108,15,1,0,4,1,9,1,1,0,13,-0.25,0,0,0,0.155843229,3,0,1.5,0,-0.5,36.757852,36.757852,0
192,negative,13.345298,9,1,0,6,0,2,3,0,0,6,1.25,0,0,0,0.963105721,3,15,9,0,10.75,29.729639,32.915021,0
